file_name,functionVerified,function_name,function_line,error
 cmdline.c, cmdline_get_passwd_input, cmdline_get_passwd_input ,.c line 96 ,dereference failure: invalid pointer
 cmdline.c, cmdline_host_ok, cmdline_host_ok , 112 ,assertion cmdline_tooltype & TOOLTYPE_HOST_ARG
 cmdline.c, cmdline_process_param, strlen , 78 ,dereference failure: invalid pointer
 cmdline.c, cmdline_save_param, cmdline_save_param , 100 ,array bounds violated: array `saves' lower bound
 ldisc.c, bsb, seat_output , 1416 ,dereference failure: invalid pointer
 ldisc.c, c_write, c_write , 80 ,dereference failure: invalid pointer
 ldisc.c, char_start, char_start , 118 ,dereference failure: invalid pointer
 ldisc.c, ldisc_configure, ldisc_configure , 169 ,dereference failure: invalid pointer
 ldisc.c, ldisc_create, backend_provide_ldisc , 839 ,dereference failure: invalid pointer
 ldisc.c, ldisc_echoedit_update, backend_ldisc_option_state , 837 ,dereference failure: invalid pointer
 ldisc.c, ldisc_enable_prompt_callback, ldisc_enable_prompt_callback , 205 ,dereference failure: invalid pointer
 ldisc.c, ldisc_input_queue_callback, ldisc_input_queue_callback , 219 ,dereference failure: invalid pointer
 ldisc.c, ldisc_to_backend_raw, backend_sendok , 835 ,dereference failure: invalid pointer
 ldisc.c, plen, in_utf , 434 ,dereference failure: invalid pointer
 x11disp.c, x11_free_display, x11_free_display , 17 ,dereference failure: invalid pointer
 x11disp.c, x11_setup_display, x11_setup_display , 74 ,dereference failure: invalid pointer
 import.c, BinarySink_put_ber_id_len, BinarySink_put_ber_id_len , 92 ,dereference failure: invalid pointer
 import.c, BinarySink_put_mp_ssh2_from_string, BinarySink_put_mp_ssh2_from_string , 324 ,dereference failure: invalid pointer
 import.c, BinarySink_put_mp_sshcom_from_string, BinarySink_put_mp_sshcom_from_string , 96 ,dereference failure: invalid pointer
 import.c, BinarySource_get_ber, BinarySource_get_ber , 285 ,dereference failure: invalid pointer
 import.c, BinarySource_get_mp_sshcom_as_string, BinarySource_get_mp_sshcom_as_string , 291 ,dereference failure: invalid pointer
 import.c, bsgetline, bsgetline , 303 ,dereference failure: invalid pointer
 import.c, openssh_new_write, ssh_cipher_setkey , 690 ,dereference failure: invalid pointer
 import.c, openssh_pem_derivekey, ssh_hash_final , 804 ,dereference failure: invalid pointer
 logging.c, log_free, logfclose , 197 ,dereference failure: invalid pointer
 logging.c, log_get_policy, log_get_policy , 86 ,dereference failure: invalid pointer
 logging.c, log_init, log_init , 404 ,dereference failure: invalid pointer
 logging.c, logflush, logflush , 79 ,dereference failure: invalid pointer
 errsock.c, new_error_socket_consume_string, new_error_socket_consume_string , 58 ,dereference failure: invalid pointer
 errsock.c, sk_error_plug, sk_error_plug , 22 ,dereference failure: invalid pointer
 errsock.c, sk_error_socket_error, sk_error_socket_error , 39 ,dereference failure: invalid pointer
 psftp.c, bare_name_compare, bare_name_compare , 225 ,dereference failure: invalid pointer
 psftp.c, list_directory_from_sftp_print, list_directory_from_sftp_print , 84 ,dereference failure: invalid pointer
 psftp.c, psftp_connect, psftp_connect , 2605 ,dereference failure: invalid pointer
 psftp.c, psftp_output, psftp_output , 141 ,dereference failure: NULL pointer
